uid,name_kanji,name,colloquial_reading_kanji,colloquial_reading,display_name,road,road_meaning,modern_prefecture
1,山城,Yamashiro,城州,Jōshū,"Yamashiro",Kinai,"The Home Provinces","Kyoto"
2,大和,Yamato,和州,Washū,"Yamato",Kinai,"The Home Provinces","Nara"
3,河内,Kawachi,河州,Kashū,"Kawachi",Kinai,"The Home Provinces","Osaka"
4,和泉,Izumi,泉州,Senshū,"Izumi",Kinai,"The Home Provinces","Osaka"
5,攝津,Settsu,攝州,Sesshû,"Settsu",Kinai,"The Home Provinces","Osaka and Hyogo"
6,伊賀,Iga,伊州,Ishū,"Iga",Tokaido,"The Eastern Sea Circuit","Mie"
7,伊勢,Ise,勢州,Seishū,"Ise",Tokaido,"The Eastern Sea Circuit","Mie"
8,志摩,Shima,志州,Shishū,"Shima",Tokaido,"The Eastern Sea Circuit","Mie"
9,尾張,Owari,尾州,Oshū,"Owari",Tokaido,"The Eastern Sea Circuit","Aichi"
10,三河,Mikawa,三州,Sanshū,"Mikawa",Tokaido,"The Eastern Sea Circuit","Aichi"
11,遠江,Tōtōmi,遠州,Enshū,"Totomi",Tokaido,"The Eastern Sea Circuit","Shizuoka"
12,駿河,Suruga,駿州,Sunshū,"Suruga",Tokaido,"The Eastern Sea Circuit","Shizuoka"
13,甲斐,Kai,甲州,Koushū,"Kai",Tokaido,"The Eastern Sea Circuit","Yamanashi"
14,伊豆,Izu,豆州,Zushū,"Izu",Tokaido,"The Eastern Sea Circuit","Shizuoka"
15,相模,Sagami,相州,Soushū,"Sagami",Tokaido,"The Eastern Sea Circuit","Kanagawa"
16,武蔵,Musashi,武州,Bushū,"Musashi",Tokaido,"The Eastern Sea Circuit","Tokyo, Saitama and Kanagawa"
17,安房,Awa,房州,Būshū,"Awa (Tokaido)",Tokaido,"The Eastern Sea Circuit","Chiba"
18,上總,Kazusa,總州,Soshū,"Kazusa",Tokaido,"The Eastern Sea Circuit","Chiba"
19,下總,Shimosa,總州,Soshū,"Shimosa",Tokaido,"The Eastern Sea Circuit","Chiba and Ibaraki"
20,常陸,Hitachi,常州,Joshū,"Hitachi",Tokaido,"The Eastern Sea Circuit","Ibaraki"
21,近江,Ōmi,江州,Goshū,"Omi",Tosando,"The Eastern Mountain Circuit","Shiga"
22,美濃,Mino,濃州,Noshū,"Mino",Tosando,"The Eastern Mountain Circuit","Gifu"
23,飛禪,Hida,飛州,Hishū,"Hida",Tosando,"The Eastern Mountain Circuit","Gifu"
24,信濃,Shinano,信州,Shinshū,"Shinano",Tosando,"The Eastern Mountain Circuit","Nagano"
25,上野,Kōdzuke,上州,Joshū,"Kozuke",Tosando,"The Eastern Mountain Circuit","Gunma"
26,下野,Shimotsuke,野州,Yashū,"Shimotsuke",Tosando,"The Eastern Mountain Circuit","Tochigi"
